group,sex,right_b,right_a,left_b,left_a
ТПП-20,д,29.5,31.5,28.5,30.5
ТПП-21,д,35.5,31.5,23.5,29.5
ТПП-22,д,32.5,32.5,33.5,33.5
ТПП-23,д,28.5,29.5,27.5,27
ТПП-24,д,23.5,23.5,21,21
ТПП-25,д,28,24,18.5,23
ТПП-26,д,22,20.5,21.5,24
ТПП-27,д,31.5,26.5,29.5,25.5
ТПП-28,д,31,31,27,27
ТПП-29,д,31.5,34,26,32
ТПП-31,м,56.5,56,55,54
ТПП-32,м,53.5,52.5,45.5,49.5
ТПП-33,м,51.5,53,45.5,45.5
ТППЖ-20,д,24.5,25,20,24.5
ТППЖ-21,д,24,23,21,21.5
ТППЖ-22,д,23,23.5,25,26
ТППЖ-23,д,29,29.5,30,30.5
ТППЖ-24,д,26,26.5,24,24.5
ТППЖ-26,м,38,40,37,39
ТППЖ-27,м,47,47.5,41,41.5
ФС-20,д,16,15,16,13
ФС-21,д,22,26,18,23
ФС-22,д,23,23,22,22
ФС-23,д,29,23,24,24
ФС-24,д,21,21,19,19
ФС-25,д,23,24,20,21
ФС-26,д,14,12,12,9
ФС-27,д,36,36,20,20
ФС-28,д,31,31,30,30
ФС-29,д,19,19,24,24
ФС-30,д,27,27,19,19
ФС-31,д,25,25,21,21
ФС-32,д,23,26,28,22
ФС-33,д,13,19,24,14
ФС-34,д,17,10,17,19
ФС-35,д,25,27,15,17
ФС-36,д,27,28,28,29
ФС-37,д,17,19,11,13
ФС-37,м,37,38,36,37
ФС-38,м,58,56,56,52
ФС-39,м,40,22,32,21
ФС-40,м,50,43,37,42
ФС-41,м,33,28,42,40
ФС-42,м,76,76,70,70
ФС-43,м,53,53,48,48
ЭЭ-20,м,47.5,43,44.5,20.5
ЭЭ-21,м,58.5,59.5,55.5,55
ЭЭ-22,м,46.5,49,44,40
ЭЭ-23,м,58.5,54,55.5,53.5
ЭЭ-24,м,55,40.5,45.5,33.5
ЭЭ-25,м,39.5,39.5,38,32
ЭЭ-26,м,50,51,50.5,55
ЭЭ-27,м,32,36,32,39
ЭЭ-28,м,53,45,51,44
ЭЭ-29,м,50.5,50,44.5,44
ЭЭ-30,м,41,43.5,40,41
ЭЭ-31,м,38.5,45.5,39,40
ЭЭ-32,м,35.5,32.5,33.5,24
ЭЭ-33,м,31.5,39.5,38.5,38.3
ЭЭ-34,м,35.5,53.5,51,53.5
ЭЭ-35,м,40,41,44,45
ЭЭ-36,м,52,53,50,51
ЭЭ-37,м,42,41,40,38
ЭЭ-38,м,51,51,46,46
ЭЭ-39,м,38.5,35.5,32,34.5
ЭЭ-40,м,28,27,21.5,24
ЭЭ-41,м,61,61,59.6,59.6
ЭЭ-42,м,35,35,35,35
ЭЭ-42,д,26,21,27,27
ЭЭ-43,д,30.5,26,25.5,24.5
ЭЭ-44,д,19.5,22,19.5,20
ЭЭ-45,д,24,20,20,21
PRЖ-20,д,26,,24,
PRЖ-21,д,31.5,,23.5,
PRЖ-22,д,36,,31,
PRЖ-23,д,28.5,,20.5,
PRЖ-24,д,20.5,,21,
PRЖ-25,д,33,,29.5,
PRЖ-26,д,22.5,,16.5,
PRЖ-27,д,19.5,,18,
PRЖ-28,д,28,,24.5,
PRЖ-29,д,21,,19,
PRЖ-30,д,30,,22,
PRЖ-31,д,34.5,,34.5,
PRЖ-31,м,44.5,,42,
PRЖ-32,м,48,,47.5,
PRЖ-33,м,48.5,,39.5,
PRЖ-34,м,34.5,,34,
PRЖ-35,м,46.5,,40,
ИЯ-20,д,13.5,,14.5,
ИЯ-21,д,24,,21,
ИЯ-22,д,14.5,,15.5,
ИЯ-23,д,12.5,,15.5,
ИЯ-24,д,19,,19.5,
ИЯ-25,д,20.5,,20.5,
ИЯ-26,д,25,,23,
ИЯ-27,д,18.5,,19.5,
ИЯ-28,д,25.5,,25,
ИЯ-29,д,19,,21,
ИЯ-30,д,18.5,,15.5,
ИЯ-31,д,20.5,,19.5,
ИЯ-32,д,24.5,,27,
ИЯ-33,д,20.5,,18.5,
ИЯ-34,д,20.5,,22.5,
ИЯ-35,д,25.5,,28,
ИЯ-36,д,27,,23,
ИЯ-37,д,22.5,,22,
ИЯ-38,д,18.5,,31.5,
ИЯ-38,м,25.5,,23,
ИЯ-39,м,26,,24.5,
ИЯ-40,м,26,,26,
ИЯ-41,м,26.5,,23.5,
ИЯ-42,м,27,,23,